timestamp,currency,high,low
2020-01-01T23:45:00+00:00,BTC,7210.9829104238333457033149898052215576171875,7210.9829104238333457033149898052215576171875
2020-01-02T23:15:00+00:00,BTC,6976.733272974999636062420904636383056640625,6976.733272974999636062420904636383056640625
2020-01-31T23:45:00+00:00,BTC,9336.13288471399937407113611698150634765625,9336.13288471399937407113611698150634765625
2020-02-01T23:15:00+00:00,BTC,9394.082061860999601776711642742156982421875,9394.082061860999601776711642742156982421875
2020-03-01T23:45:00+00:00,ETH,219.255731521166666198041639290750026702880859375,219.255731521166666198041639290750026702880859375
2020-03-02T23:15:00+00:00,ETH,230.53154042366668363683857023715972900390625,230.53154042366668363683857023715972900390625
2020-04-15T23:45:00+00:00,BTC,6635.2243591030010065878741443157196044921875,6635.2243591030010065878741443157196044921875
2020-04-16T23:15:00+00:00,BTC,7136.021271049999995739199221134185791015625,7136.021271049999995739199221134185791015625
2020-05-15T23:15:00+00:00,BTC,9372.981479031501294230110943317413330078125,9372.981479031501294230110943317413330078125
2020-05-16T23:15:00+00:00,BTC,9426.2257842399994842708110809326171875,9426.2257842399994842708110809326171875
2020-07-14T23:45:00+00:00,ETH,240.6102718723333282468956895172595977783203125,240.6102718723333282468956895172595977783203125
2020-07-15T23:15:00+00:00,ETH,238.328456129333318358476390130817890167236328125,238.328456129333318358476390130817890167236328125
2020-08-13T23:45:00+00:00,BTC,11751.606363511833478696644306182861328125,11751.606363511833478696644306182861328125
2020-08-14T23:15:00+00:00,BTC,11761.783838583165561431087553501129150390625,11761.783838583165561431087553501129150390625
2020-09-12T23:45:00+00:00,ETH,382.82169355950003364341682754456996917724609375,382.82169355950003364341682754456996917724609375
2020-09-13T23:15:00+00:00,ETH,365.21955917799999724593362770974636077880859375,365.21955917799999724593362770974636077880859375
2020-12-11T23:45:00+00:00,BTC,18059.20694526350052910856902599334716796875,18059.20694526350052910856902599334716796875
2020-12-12T23:15:00+00:00,BTC,18814.46398813733321730978786945343017578125,18814.46398813733321730978786945343017578125
2020-02-15T23:45:00+00:00,BTC,9914.5222287533324561081826686859130859375,9914.5222287533324561081826686859130859375
2020-02-16T23:15:00+00:00,BTC,9914.67333983299977262504398822784423828125,9914.67333983299977262504398822784423828125
2020-03-31T23:15:00+00:00,BTC,6440.9017126059998190612532198429107666015625,6440.9017126059998190612532198429107666015625
2020-04-01T23:15:00+00:00,BTC,6510.3619986370003971387632191181182861328125,6510.3619986370003971387632191181182861328125
2020-05-30T23:45:00+00:00,BTC,9692.81727220933316857554018497467041015625,9692.81727220933316857554018497467041015625
2020-05-31T23:15:00+00:00,BTC,9436.086840720499822054989635944366455078125,9436.086840720499822054989635944366455078125
2020-08-28T23:15:00+00:00,ETH,392.82185440799997877547866664826869964599609375,392.82185440799997877547866664826869964599609375
2020-08-29T23:15:00+00:00,ETH,401.71766675899999654575367458164691925048828125,401.71766675899999654575367458164691925048828125
2020-09-27T23:45:00+00:00,BTC,10756.60097047866656794212758541107177734375,10756.60097047866656794212758541107177734375
2020-09-28T23:15:00+00:00,BTC,10820.208161059834310435689985752105712890625,10820.208161059834310435689985752105712890625
2020-11-26T23:45:00+00:00,BTC,17103.97967991316909319721162319183349609375,17103.97967991316909319721162319183349609375
2020-11-27T23:15:00+00:00,BTC,17063.56654283700117957778275012969970703125,17063.56654283700117957778275012969970703125
2020-03-16T23:45:00+00:00,ETH,109.759565155800004276898107491433620452880859375,109.759565155800004276898107491433620452880859375
2020-03-17T23:15:00+00:00,ETH,116.8793927058333252944066771306097507476806640625,116.8793927058333252944066771306097507476806640625
2020-04-15T23:45:00+00:00,ETH,153.382502994833345155711867846548557281494140625,153.382502994833345155711867846548557281494140625
2020-04-16T23:15:00+00:00,ETH,173.526563229000004184854333288967609405517578125,173.526563229000004184854333288967609405517578125
2020-06-14T23:45:00+00:00,BTC,9360.92201078650032286532223224639892578125,9360.92201078650032286532223224639892578125
2020-06-15T23:15:00+00:00,BTC,9439.059641857000315212644636631011962890625,9439.059641857000315212644636631011962890625
2020-07-14T23:15:00+00:00,BTC,9263.634149419000095804221928119659423828125,9263.634149419000095804221928119659423828125
2020-07-15T23:15:00+00:00,BTC,9202.210838337499808403663337230682373046875,9202.210838337499808403663337230682373046875
2020-10-27T23:45:00+00:00,BTC,13656.294499364166767918504774570465087890625,13656.294499364166767918504774570465087890625
2020-10-28T23:15:00+00:00,BTC,13282.85419621999972150661051273345947265625,13282.85419621999972150661051273345947265625
2020-01-01T23:45:00+00:00,ETH,130.761255701833334796901908703148365020751953125,130.761255701833334796901908703148365020751953125
2020-01-02T23:15:00+00:00,ETH,127.43955291299999998955172486603260040283203125,127.43955291299999998955172486603260040283203125
2020-01-04T23:15:00+00:00,ETH,134.267270845000012968739611096680164337158203125,134.267270845000012968739611096680164337158203125
2020-01-05T23:15:00+00:00,ETH,135.103025137999992466575349681079387664794921875,135.103025137999992466575349681079387664794921875
2020-01-11T23:45:00+00:00,BTC,8043.2653518271663415362127125263214111328125,8043.2653518271663415362127125263214111328125
2020-01-12T23:15:00+00:00,BTC,8161.2026507979999223607592284679412841796875,8161.2026507979999223607592284679412841796875
2020-01-13T23:45:00+00:00,ETH,143.914240524999996750921127386391162872314453125,143.914240524999996750921127386391162872314453125
2020-01-14T23:15:00+00:00,ETH,164.5692317995000166774843819439411163330078125,164.5692317995000166774843819439411163330078125
2020-01-16T23:45:00+00:00,ETH,163.579977291000005834575858898460865020751953125,163.579977291000005834575858898460865020751953125
2020-01-17T23:15:00+00:00,ETH,171.890085695000010446165106259286403656005859375,171.890085695000010446165106259286403656005859375
2020-03-07T23:45:00+00:00,ETH,238.265360112499962497167871333658695220947265625,238.265360112499962497167871333658695220947265625
2020-03-08T23:15:00+00:00,ETH,206.579077756833299872596398927271366119384765625,206.579077756833299872596398927271366119384765625
2020-03-14T23:15:00+00:00,BTC,5196.1507981696659044246189296245574951171875,5196.1507981696659044246189296245574951171875
2020-03-15T23:15:00+00:00,BTC,5383.890453652666110428981482982635498046875,5383.890453652666110428981482982635498046875
2020-03-21T23:45:00+00:00,BTC,6162.4580316496676459792070090770721435546875,6162.4580316496676459792070090770721435546875
2020-03-22T23:15:00+00:00,BTC,5882.88736726749993977136909961700439453125,5882.88736726749993977136909961700439453125
2020-03-22T23:45:00+00:00,ETH,123.3058834250000046495188144035637378692626953125,123.3058834250000046495188144035637378692626953125
2020-03-23T23:15:00+00:00,ETH,134.410024886999991622360539622604846954345703125,134.410024886999991622360539622604846954345703125
2020-03-24T23:45:00+00:00,BTC,6758.6634116579998590168543159961700439453125,6758.6634116579998590168543159961700439453125
2020-03-25T23:15:00+00:00,BTC,6682.391596919000221532769501209259033203125,6682.391596919000221532769501209259033203125
